adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,revenue,runtime,genres,production_companies,directors,cast,genres_str,directors_str,cast_str,companies_str,roi,popularity_category,rating_category
False,/is9bmV6uYXu7LjZGJczxrjJDlv8.jpg,"[28, 12]",1229730,fr,Carjackers,"Por el día, son invisibles: aparcacoches, recepcionistas y camareros de un hotel de lujo. Por la noche, son criminales, una banda de conductores expertos que asalta a clientes ricos en sus coches. Justo cuando planean su último golpe, la directora del hotel contrata a un sicario despiadado para detenerlos. El peligro les acecha, ¿conseguirán Nora, Zoé, Steve y Prestance dar su mayor golpe?",426.0431,/rpAbueORafYSgTk2oSc2t6ayktb.jpg,2025-03-27,Criminales de lujo,False,7.073,41,0,0,97,"['Acción', 'Aventura']",['Gaumont'],['Kamel Guemra'],"['Zoé Marchal', 'Franck Gastambide', 'Bosh', 'Mareva Ranarivelo', 'Alassane Diong']","Acción,Aventura",Kamel Guemra,"Zoé Marchal,Franck Gastambide,Bosh,Mareva Ranarivelo,Alassane Diong",Gaumont,0.0,Muy Alta,Buena
False,/gsQJOfeW45KLiQeEIsom94QPQwb.jpg,"[28, 53]",1125899,en,Cleaner,"Cuando un grupo de activistas radicales se apodera de la gala anual de una empresa energética y toma 300 rehenes, una ex soldado convertida en limpiacristales suspendida 50 pisos en el exterior del edificio debe salvar a los que están atrapados dentro, incluido su hermano pequeño.",395.1497,/76Xvdqiv8ufGkerQunOpcy98oT7.jpg,2025-02-19,Cleaner,False,6.779,147,0,0,96,"['Acción', 'Suspense']","['Anton', 'Qwerty Films']",['Martin Campbell'],"['Daisy Ridley', 'Clive Owen', 'Taz Skylar', 'Flavia Watson', 'Ray Fearon']","Acción,Suspense",Martin Campbell,"Daisy Ridley,Clive Owen,Taz Skylar,Flavia Watson,Ray Fearon","Anton,Qwerty Films",0.0,Muy Alta,Buena
False,/9OO6I25MHhCDd0XwNk4oZl0fpwB.jpg,"[28, 18]",1261050,da,De lydløse,"En 2008, un grupo de hombres de Dinamarca y Europa lleva a cabo el mayor atraco de todos los tiempos en suelo danés. Kasper, un boxeador con pocas oportunidades en la vida, recibe la oferta de sus iniciadores extranjeros para planear el robo.",335.4507,/ywHCbLbTremCJBiHRa63rlrXmWs.jpg,2024-10-31,Los silenciosos,False,5.938,16,0,0,110,"['Acción', 'Drama']","['Zentropa Entertainments', 'Film i Väst', 'Zentropa International Sweden', 'Kazak Productions', 'Zentropa International France']",['Frederik Louis Hviid'],"['Gustav Dyekjær Giese', 'Reda Kateb', 'Amanda Collin', 'Christopher Wagelin', 'Jens Hultén']","Acción,Drama",Frederik Louis Hviid,"Gustav Dyekjær Giese,Reda Kateb,Amanda Collin,Christopher Wagelin,Jens Hultén","Zentropa Entertainments,Film i Väst,Zentropa International Sweden,Kazak Productions,Zentropa International France",0.0,Muy Alta,Regular
False,/xBrx6O1RIhjtWmVthZIANuQz7Z2.jpg,"[28, 80, 53]",1197306,en,A Working Man,"Levon Cade dejó atrás una condecorada carrera militar en las operaciones encubiertas para vivir una vida sencilla trabajando en la construcción. Pero cuando la hija de su jefe, que para él es como de la familia, es secuestrada por traficantes de personas, su búsqueda para traerla a casa descubre un mundo de corrupción mucho mayor de lo que jamás podría haber imaginado.",361.4478,/aG50Ad3UV8cCQWpNWSHHUqgKGNB.jpg,2025-03-26,A Working Man,False,6.8,104,40000000,33392248,116,"['Acción', 'Crimen', 'Suspense']","['Cedar Park Entertainment', 'BlockFilm', 'Punch Palace Productions', 'Balboa Productions', 'Black Bear Pictures', 'Fifth Season', 'CAT5']",['David Ayer'],"['Jason Statham', 'David Harbour', 'Michael Peña', 'Jason Flemyng', 'Arianna Rivas']","Acción,Crimen,Suspense",David Ayer,"Jason Statham,David Harbour,Michael Peña,Jason Flemyng,Arianna Rivas","Cedar Park Entertainment,BlockFilm,Punch Palace Productions,Balboa Productions,Black Bear Pictures,Fifth Season,CAT5",-0.1651938,Muy Alta,Buena
False,/8eifdha9GQeZAkexgtD45546XKx.jpg,"[28, 53, 878]",822119,en,Captain America: Brave New World,"Tras reunirse con el recién elegido presidente de los EE. UU., Thaddeus Ross, Sam se encuentra en medio de un incidente internacional. Debe descubrir el motivo que se esconde tras un perverso complot global, antes de que su verdadero artífice enfurezca al mundo entero.",326.4753,/im71UJzBqY03swuGYVR28j0JFM2.jpg,2025-02-12,Capitán América: Brave New World,False,6.123,1195,180000000,409278201,119,"['Acción', 'Suspense', 'Ciencia ficción']","['Marvel Studios', 'Kevin Feige Productions']",['Julius Onah'],"['Anthony Mackie', 'Harrison Ford', 'Danny Ramirez', 'Shira Haas', 'Tim Blake Nelson']","Acción,Suspense,Ciencia ficción",Julius Onah,"Anthony Mackie,Harrison Ford,Danny Ramirez,Shira Haas,Tim Blake Nelson","Marvel Studios,Kevin Feige Productions",1.2737677833333334,Muy Alta,Buena
False,/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg,"[10751, 35, 12, 14]",950387,en,A Minecraft Movie,"Cuatro inadaptados se encuentran luchando con problemas ordinarios cuando de repente se ven arrastrados a través de un misterioso portal al Mundo Exterior: un extraño país de las maravillas cúbico que se nutre de la imaginación. Para volver a casa, tendrán que dominar este mundo mientras se embarcan en una búsqueda mágica con un inesperado experto artesano, Steve.",333.9632,/m3paT74qJ1TkDYMihmni3OFdcjZ.jpg,2025-03-31,Una película de Minecraft,False,5.994,81,150000000,0,101,"['Familia', 'Comedia', 'Aventura', 'Fantasía']","['Warner Bros. Pictures', 'Legendary Pictures', 'Mojang Studios', 'Vertigo Entertainment', 'On the Roam', 'Domain Entertainment']",['Jared Hess'],"['Jason Momoa', 'Jack Black', 'Sebastian Eugene Hansen', 'Emma Myers', 'Danielle Brooks']","Familia,Comedia,Aventura,Fantasía",Jared Hess,"Jason Momoa,Jack Black,Sebastian Eugene Hansen,Emma Myers,Danielle Brooks","Warner Bros. Pictures,Legendary Pictures,Mojang Studios,Vertigo Entertainment,On the Roam,Domain Entertainment",-1.0,Muy Alta,Regular
False,/m2mzlsJjE3UAqeUB5fLUkpWg4Iq.jpg,"[53, 878]",1165067,en,Cosmic Chaos,"Batallas en realidad virtual, supervivencia en un páramo postapocalíptico, una nave espacial soviética que emite una señal de socorro... Historias fantásticas creadas con avanzados efectos especiales y pasión.",260.8825,/mClzWv7gBqgXfjZXp49Enyoex1v.jpg,2023-08-03,Relatos Fantásticos,False,6.9,27,0,0,0,"['Suspense', 'Ciencia ficción']",['Hewes Pictures'],[],"['Curtis Bechdholt', 'Caroline Dhavernas', 'Ken Godmere', 'Jeananne Goossen', 'Samantha Neale']","Suspense,Ciencia ficción",,"Curtis Bechdholt,Caroline Dhavernas,Ken Godmere,Jeananne Goossen,Samantha Neale",Hewes Pictures,0.0,Muy Alta,Buena
False,/ibF5XVxTzf1ayzZrmiJqgeQ39Qk.jpg,"[28, 10752]",1373723,en,The Codes of War,"Las historias de guerra sobre la familia, la ética y el honor incluyen la historia real de dos marines estadounidenses que, en un lapso de seis segundos, deben mantenerse firmes para detener un camión bomba suicida, un soldado de la Marina que intenta aferrarse a su humanidad y un soldado de la Segunda Guerra Mundial que se separa de su escuadrón y se ve obligado a reevaluar su código.",249.5926,/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg,2025-03-20,Códigos de Guerra,False,7.481,27,0,0,92,"['Acción', 'Bélica']",[],"['Paul Anderson', 'Joshua DeFour', 'Marielle Woods']","['Noah Gray-Cabey', 'Michael Grant']","Acción,Bélica","Paul Anderson,Joshua DeFour,Marielle Woods","Noah Gray-Cabey,Michael Grant",,0.0,Muy Alta,Buena
False,/qiVrapzgrDO7c6yQTSvn0dhwsn8.jpg,"[10749, 18]",1252309,es,Pídeme lo que quieras,"Judith Flores es una chica normal. Tiene un trabajo que le apasiona, muy buenos amigos y un padre encantador. Pero su vida cambia radicalmente cuando conoce a Eric Zimmerman, dueño de la empresa donde ella trabaja. Su relación con Eric está a punto de dinamitar su vida por completo.",273.7269,/76qnVxU2rPdVvipBN3DPQH6fVYB.jpg,2024-11-29,Pídeme lo que quieras,False,6.014,106,0,0,114,"['Romance', 'Drama']","['Versus Entertainment', 'LyO Media', 'Warner Bros. Entertainment España', '4 Cats Pictures']",['Lucía Alemany'],"['Gabriela Andrada', 'Mario Ermito', 'Celia Freijeiro', 'David Solans', 'Alba Ribas']","Romance,Drama",Lucía Alemany,"Gabriela Andrada,Mario Ermito,Celia Freijeiro,David Solans,Alba Ribas","Versus Entertainment,LyO Media,Warner Bros. Entertainment España,4 Cats Pictures",0.0,Muy Alta,Buena
False,/nhx0ttmAS2w8e6hyIcKoNvgHoix.jpg,"[27, 53, 14]",1020414,en,Peter Pan's Neverland Nightmare,"Sigue a Wendy Darling en su intento de rescatar a su hermano Michael de ""las garras del malvado Peter Pan"". Por el camino conoce a Campanilla, que en esta retorcida versión del cuento se verá tomando heroína, convencida de que es polvo de hadas. La famosa historia de Peter Pan reinventada como un film de terror por Jagged Edge Productions, productora de ""Winnie the Pooh: Blood and Honey"".",215.0996,/m5jtX2J0VswgslOyx04l4edo3nJ.jpg,2025-01-13,Peter Pan: Pesadilla en Nunca Jamás,False,6.018,28,250000,315648,89,"['Terror', 'Suspense', 'Fantasía']",['Jagged Edge Productions'],['Scott Chambers'],"['Martin Portlock', 'Megan Placito', 'Kit Green', 'Peter DeSouza-Feighoney', 'Charity Kase']","Terror,Suspense,Fantasía",Scott Chambers,"Martin Portlock,Megan Placito,Kit Green,Peter DeSouza-Feighoney,Charity Kase",Jagged Edge Productions,0.262592,Muy Alta,Buena
